net,length_um
clknet_0_clk,515.68
_1052_,374.16
_0813_,358.74
net5,321.81
_1795_,319.21
_1689_,296.72
_1856_,294.92
net63,287.83
_0726_,272.74
_1618_,271.91
_1439_,267.56
net15,264.98
_4241_,259.42
_2124_,256.8
_1335_,256.18
net34,252.77
_3995_,249.745
_3348_,249.33
_1679_,248.83
net19,245.2
_0643_,243
_1889_,240.005
net61,235.86
_4154_,235
_0390_,233.53
_0629_,229.2
net2,228.8
_3341_,228.54
_1723_,227.66
net64,226.12
_1134_,223.56
_0630_,223.34
_1033_,221.24
net17,219.94
_1822_,219.12
_1005_,217.13
_0635_,216.79
net20,216.15
_1385_,212.66
_0645_,207.84
_1012_,206.96
_4177_,206.09
_2071_,205.6
_1597_,205.51
_0505_,205.015
net40,204.46
_1970_,204.3
net14,204.3
_4172_,203.97
net264,201.76
net24,200.895
_4071_,198.01
_1964_,197.54
_2384_,193.54
_0388_,193.42
_0651_,192.6
_0660_,192.47
_1676_,191.35
net3,189.81
_3329_,188.4
_0637_,186.29
net12,186.02
net11,185.04
_3328_,184.38
net39,184.12
_0633_,182.84
_0627_,180.88
_1865_,179.79
_0616_,178.32
_4174_,174.9
_2276_,174.84
_4158_,174.26
_1533_,174.16
_0619_,171.68
_4156_,169.96
_4165_,169.505
_2230_,168.78
_0649_,168.63
_4173_,168.6
_4193_,166.97
net4,165.56
_0534_,165.04
_0653_,164.42
_0639_,162.9
_2296_,162.78
_4083_,162.275
_3787_,161.09
_1275_,160.845
clk,160.51
_4155_,159.45
net62,158.48
net41,158.28
_4167_,158.18
_0550_,157.48
_1570_,156.76
_0971_,156.755
_1258_,156.26
_3119_,156.22
_2489_,155.86
_2388_,154.28
net81,153.1
_2400_,152.825
_2111_,151.46
_0634_,151.38
_3338_,150.63
_0638_,148.5
net6,148.25
clknet_4_8_0_clk,147.54
_0961_,147.3
_0636_,147.26
_1486_,146.54
_0776_,146.52
_3333_,146.29
_0494_,146
_0367_,145.97
_4187_,145.3
_4094_,145.28
_0648_,144.94
_4130_,143.26
_4175_,143.1
_0591_,142.76
_0657_,142.7
_4150_,142.04
net25,141.84
_2172_,141.6
_0650_,140.265
_0656_,140.26
_0335_,139.92
clknet_4_9_0_clk,139.44
_1294_,139.26
_1582_,139.155
_1456_,137.9
net67,136.66
